Hari,Data
1248,310.13
1249,315.01
1250,311.41
1251,307.65
1252,309.54
1253,307.71
1254,314.96
1255,313.14
1256,319.23
1257,316.85
1258,318.89
