,Tanggal,Rataan Ketinggian Air Laut
373,2022-01-09,180.83333333333334
374,2022-01-10,178.89743589743588
375,2022-01-11,175.625
376,2022-01-12,173.95833333333334
377,2022-01-13,179.66666666666666
378,2022-01-14,174.875
379,2022-01-15,169.125
380,2022-01-16,176.125
381,2022-01-17,177.29166666666666
382,2022-01-18,183.375
383,2022-01-19,178.83333333333334
384,2022-01-20,177.66666666666666
385,2022-01-21,176.79166666666666
386,2022-01-22,184.16666666666666
387,2022-01-23,175.95833333333334
388,2022-01-24,174.25
389,2022-01-25,171.70833333333334
390,2022-01-26,172.20833333333334
391,2022-01-27,168.16666666666666
392,2022-01-28,172.54166666666666
393,2022-01-29,178.04166666666666
394,2022-01-30,180.75
395,2022-01-31,180.79166666666666
396,2022-02-01,183.41666666666666
397,2022-02-02,186.33333333333334
398,2022-02-03,182.75
399,2022-02-04,189.0
400,2022-02-05,186.125
401,2022-02-06,186.45833333333334
402,2022-02-07,182.875
403,2022-02-08,181.16666666666666
404,2022-02-09,182.375
405,2022-02-10,175.20833333333334
406,2022-02-11,176.375
407,2022-02-12,182.625
408,2022-02-13,188.91666666666666
409,2022-02-14,186.04166666666666
410,2022-02-15,192.54166666666666
411,2022-02-16,195.79166666666666
412,2022-02-17,201.33333333333334
413,2022-02-18,193.54166666666666
414,2022-02-19,191.54166666666666
415,2022-02-20,189.5
416,2022-02-21,187.75
417,2022-02-22,184.20833333333334
418,2022-02-23,181.25
419,2022-02-24,182.41666666666666
420,2022-02-25,178.125
421,2022-02-26,180.95833333333334
422,2022-02-27,184.66666666666666
423,2022-02-28,180.0
424,2022-03-01,174.83333333333334
425,2022-03-02,164.91666666666666
426,2022-03-03,176.91666666666666
427,2022-03-04,178.95833333333334
428,2022-03-05,182.45833333333334
429,2022-03-06,183.83333333333334
430,2022-03-07,181.875
431,2022-03-08,185.625
432,2022-03-09,190.75
433,2022-03-10,187.29166666666666
434,2022-03-11,175.04166666666666
435,2022-03-12,176.41666666666666
436,2022-03-13,186.29166666666666
437,2022-03-14,139.66666666666666
438,2022-03-15,179.125
439,2022-03-16,180.95833333333334
440,2022-03-17,183.66666666666666
441,2022-03-18,182.16666666666666
442,2022-03-19,171.20833333333334
443,2022-03-20,177.625
444,2022-03-21,178.04166666666666
445,2022-03-22,171.75
446,2022-03-23,183.125
447,2022-03-24,179.54166666666666
448,2022-03-25,177.79166666666666
449,2022-03-26,176.625
450,2022-03-27,177.625
451,2022-03-28,184.25
452,2022-03-29,201.58333333333334
453,2022-03-30,202.91666666666666
454,2022-03-31,201.41666666666666
455,2022-04-01,197.75
456,2022-04-02,201.08333333333334
457,2022-04-03,199.91666666666666
458,2022-04-04,195.95833333333334
459,2022-04-05,196.41666666666666
460,2022-04-06,195.58333333333334
461,2022-04-07,196.08333333333334
462,2022-04-08,188.33333333333334
463,2022-04-09,196.33333333333334
464,2022-04-10,193.08333333333334
465,2022-04-11,192.20833333333334
466,2022-04-12,195.04166666666666
467,2022-04-13,200.0
468,2022-04-14,199.0
469,2022-04-15,202.45833333333334
470,2022-04-16,200.0
471,2022-04-17,202.16666666666666
472,2022-04-18,206.5
473,2022-04-19,203.79166666666666
474,2022-04-20,194.04166666666666
475,2022-04-21,196.875
476,2022-04-22,199.25
477,2022-04-23,200.125
478,2022-04-24,200.125
479,2022-04-25,196.125
480,2022-04-26,199.375
481,2022-04-27,196.83333333333334
482,2022-04-28,192.83333333333334
483,2022-04-29,190.70833333333334
484,2022-04-30,194.79166666666666
485,2022-05-01,195.625
486,2022-05-02,202.95833333333334
487,2022-05-03,205.875
488,2022-05-04,212.91666666666666
489,2022-05-05,202.83333333333334
490,2022-05-06,207.875
491,2022-05-07,204.08333333333334
492,2022-05-08,200.125
493,2022-05-09,201.16666666666666
494,2022-05-10,201.08333333333334
495,2022-05-11,210.58333333333334
496,2022-05-12,206.08333333333334
497,2022-05-13,200.0
498,2022-05-14,199.95833333333334
499,2022-05-15,202.5
500,2022-05-16,202.45833333333334
501,2022-05-17,207.45833333333334
502,2022-05-18,201.375
503,2022-05-19,203.5
504,2022-05-20,200.58333333333334
505,2022-05-21,201.33333333333334
506,2022-05-22,205.95833333333334
507,2022-05-23,211.66666666666666
508,2022-05-24,212.41666666666666
509,2022-05-25,207.04166666666666
510,2022-05-26,195.08333333333334
511,2022-05-27,193.875
512,2022-05-28,191.83333333333334
513,2022-05-29,185.375
514,2022-05-30,185.29166666666666
515,2022-05-31,182.54166666666666
516,2022-06-01,183.125
517,2022-06-02,181.0
518,2022-06-03,184.125
519,2022-06-04,186.25
520,2022-06-05,189.16666666666666
521,2022-06-06,188.79166666666666
522,2022-06-07,192.54166666666666
523,2022-06-08,192.45833333333334
524,2022-06-09,193.79166666666666
525,2022-06-10,186.125
526,2022-06-11,195.91666666666666
527,2022-06-12,191.29166666666666
528,2022-06-13,190.16666666666666
529,2022-06-14,187.0
530,2022-06-15,193.70833333333334
531,2022-06-16,194.08333333333334
532,2022-06-17,185.66666666666666
533,2022-06-18,185.5
534,2022-06-19,190.45833333333334
535,2022-06-20,194.08333333333334
536,2022-06-21,196.375
537,2022-06-22,201.20833333333334
538,2022-06-23,200.25
539,2022-06-24,193.20833333333334
540,2022-06-25,193.16666666666666
541,2022-06-26,193.58333333333334
542,2022-06-27,185.16666666666666
543,2022-06-28,188.41666666666666
544,2022-06-29,186.79166666666666
545,2022-06-30,181.0
546,2022-07-01,180.58333333333334
547,2022-07-02,195.70833333333334
548,2022-07-03,199.625
549,2022-07-04,200.0
550,2022-07-05,198.79166666666666
551,2022-07-06,198.20833333333334
552,2022-07-07,193.33333333333334
553,2022-07-08,200.54166666666666
554,2022-07-09,195.95833333333334
555,2022-07-10,199.29166666666666
556,2022-07-11,200.08333333333334
557,2022-07-12,198.79166666666666
558,2022-07-13,198.66666666666666
559,2022-07-14,193.83333333333334
560,2022-07-15,204.625
561,2022-07-16,192.45833333333334
562,2022-07-17,195.58333333333334
563,2022-07-18,204.70833333333334
564,2022-07-19,205.04166666666666
565,2022-07-20,211.66666666666666
566,2022-07-21,204.25
567,2022-07-22,203.70833333333334
568,2022-07-23,191.29166666666666
569,2022-07-24,199.83333333333334
570,2022-07-25,205.70833333333334
571,2022-07-26,204.33333333333334
572,2022-07-27,201.75
573,2022-07-28,187.375
574,2022-07-29,185.375
575,2022-07-30,181.41666666666666
576,2022-07-31,181.33333333333334
577,2022-08-01,184.25
578,2022-08-02,181.29166666666666
579,2022-08-03,189.83333333333334
580,2022-08-04,186.75
581,2022-08-05,187.08333333333334
582,2022-08-06,180.08333333333334
583,2022-08-07,180.625
584,2022-08-08,172.5
585,2022-08-09,175.20833333333334
586,2022-08-10,188.0
587,2022-08-11,188.0
588,2022-08-12,188.0
589,2022-08-13,188.0
590,2022-08-14,188.0
591,2022-08-15,188.0
592,2022-08-16,188.0
593,2022-08-17,188.0
594,2022-08-18,202.0
595,2022-08-19,199.20833333333334
