,Tanggal,Minimum Ketinggian Air Laut
573,2022-07-28,145.0
574,2022-07-29,148.0
575,2022-07-30,145.0
576,2022-07-31,147.0
577,2022-08-01,157.0
578,2022-08-02,155.0
579,2022-08-03,169.0
580,2022-08-04,169.0
581,2022-08-05,170.0
582,2022-08-06,142.0
583,2022-08-07,138.0
584,2022-08-08,119.0
585,2022-08-09,121.0
586,2022-08-10,188.0
587,2022-08-11,188.0
588,2022-08-12,188.0
589,2022-08-13,188.0
590,2022-08-14,188.0
591,2022-08-15,188.0
592,2022-08-16,188.0
593,2022-08-17,188.0
594,2022-08-18,188.0
595,2022-08-19,169.0
596,2022-08-20,152.0
597,2022-08-21,153.0
598,2022-08-22,141.0
599,2022-08-23,150.0
600,2022-08-24,152.0
601,2022-08-25,151.0
602,2022-08-26,153.0
603,2022-08-27,173.0
604,2022-08-28,170.0
605,2022-08-29,171.0
606,2022-08-30,167.0
607,2022-08-31,173.0
608,2022-09-01,178.0
609,2022-09-02,164.0
610,2022-09-03,155.0
611,2022-09-04,132.0
612,2022-09-05,130.0
613,2022-09-06,138.0
614,2022-09-07,143.0
615,2022-09-08,149.0
616,2022-09-09,145.0
617,2022-09-10,151.0
618,2022-09-11,158.0
619,2022-09-12,179.0
620,2022-09-13,175.0
621,2022-09-14,169.0
622,2022-09-15,159.0
623,2022-09-16,155.0
624,2022-09-17,147.0
625,2022-09-18,157.0
626,2022-09-19,184.0
627,2022-09-20,144.0
628,2022-09-21,140.0
629,2022-09-22,147.0
630,2022-09-23,156.0
631,2022-09-24,158.0
632,2022-09-25,162.0
633,2022-09-26,173.0
634,2022-09-27,173.0
635,2022-09-28,174.0
636,2022-09-29,166.0
637,2022-09-30,164.0
638,2022-10-01,161.0
639,2022-10-02,141.0
640,2022-10-03,135.0
641,2022-10-04,128.0
642,2022-10-05,133.0
643,2022-10-06,140.0
644,2022-10-07,151.0
645,2022-10-08,150.0
646,2022-10-09,157.0
647,2022-10-10,170.0
648,2022-10-11,153.0
649,2022-10-12,159.0
650,2022-10-13,153.0
651,2022-10-14,153.0
652,2022-10-15,150.0
653,2022-10-16,142.0
654,2022-10-17,150.0
655,2022-10-18,149.0
656,2022-10-19,145.0
657,2022-10-20,154.0
658,2022-10-21,153.0
659,2022-10-22,156.0
660,2022-10-23,165.0
661,2022-10-24,160.0
662,2022-10-25,161.0
663,2022-10-26,155.0
664,2022-10-27,150.0
665,2022-10-28,149.0
666,2022-10-29,146.0
667,2022-10-30,146.0
